f_name,gnd,doi,name,fulltext
Adler_Guido.html,https://d-nb.info/gnd/118500694,https://dx.doi.org/10.1553/0x0001f65d,"Adler, Guido",
Adler_Kurt.html,https://d-nb.info/gnd/128576626,https://dx.doi.org/10.1553/0x0001f65e,"Adler, Kurt",
Adler_Kurt_Herbert.html,https://d-nb.info/gnd/13431123X,https://dx.doi.org/10.1553/0x0001f65f,"Adler, Kurt Herbert",
Adler_Max.html,https://d-nb.info/gnd/137298633,https://dx.doi.org/10.1553/0x0001f660,"Adler, Max",
Adler_Oskar.html,https://d-nb.info/gnd/104532858,https://dx.doi.org/10.1553/0x0001f661,"Adler, Oskar",
Adler_Peter_Hermann.html,https://d-nb.info/gnd/120276429,https://dx.doi.org/10.1553/0x0001f662,"Adler, Peter Hermann",
Adler_Vincenz.html,https://d-nb.info/gnd/143833286,https://dx.doi.org/10.1553/0x0001f663,"Adler, Vincenz",
Adlgasser_Anton.html,https://d-nb.info/gnd/119024586,https://dx.doi.org/10.1553/0x0001f664,"Adlgasser, Anton Cajetan",
Admont.html,,https://dx.doi.org/10.1553/0x0001f666,Admont ,
Adolph_Johann.html,https://d-nb.info/gnd/119127806,https://dx.doi.org/10.1553/0x0001f667,"Adolph, Johann Baptist SJ",
Adorno_Theodor.html,https://d-nb.info/gnd/118500775,https://dx.doi.org/10.1553/0x0001f668,"Adorno, Theodor Ludwig Wiesengrund",
Adventsingen.html,,https://dx.doi.org/10.1553/0x0001f669,Adventsingen ,
Aequale.html,,https://dx.doi.org/10.1553/0x0001f66a,Aequale ,
Aesthetik.html,,https://dx.doi.org/10.1553/0x0001f66c,Ästhetik ,
Afflissio_Giuseppe.html,https://d-nb.info/gnd/118500899,https://dx.doi.org/10.1553/0x0001f66d,"Afflissio (d’Afflisio, Affligio, Afflissio), Giuseppe (Joseph; eig. Giuseppe Maratti?)",
Agathonos_Anna.html,https://d-nb.info/gnd/1033765902,https://dx.doi.org/10.1553/0x0029ccc1,"Agathonos, Anna",
Agaton_Wilhelm.html,https://d-nb.info/gnd/1033766216,https://dx.doi.org/10.1553/0x0001f66e,"Agaton, Willi (eig. Wilhelm) Anton,",
Agazzari_Agostino.html,https://d-nb.info/gnd/118877496,https://dx.doi.org/10.1553/0x0001f66f,"Agazzari, Agostino",
Ager_Klaus.html,https://d-nb.info/gnd/119286017,https://dx.doi.org/10.1553/0x0001f670,"Ager, Klaus",
Aghakhani_Nazanin.html,https://d-nb.info/gnd/1033785482,https://dx.doi.org/10.1553/0x002a72c5,"Aghakhani, Nazanin",
Agnesi_Maria.html,https://d-nb.info/gnd/12155435X,https://dx.doi.org/10.1553/0x0001f672,"Agnesi (A.-Pinittoni), Maria Teresa (Pseud. Francesco Mainini) Maria Gaetana,",
Agnoletto_Arienne.html,https://d-nb.info/gnd/1033766674,https://dx.doi.org/10.1553/0x0029ccc3,"Agnoletto, Arienne Dorothea",
Agram.html,,https://dx.doi.org/10.1553/0x0001f674,Agram (deutsch für kroatisch Zagreb),
Ahlgrimm_Isolde.html,https://d-nb.info/gnd/123996457,https://dx.doi.org/10.1553/0x0001f676,"Ahlgrimm, Isolde",
Aicher_Otto.html,https://d-nb.info/gnd/124578225,https://dx.doi.org/10.1553/0x0001f678,"Aicher, P. Otto OSB",
Aichinger_Elfi.html,https://d-nb.info/gnd/13463201X,https://dx.doi.org/10.1553/0x0001f679,"Aichinger (verh. Maaß), Elfi (eig. Elfriede Theresia)",
Aichinger_Familie.html,,https://dx.doi.org/10.1553/0x0001f67a,"Aichinger, Familie Franz Kilian:",
Aichinger_Ignaz.html,https://d-nb.info/gnd/1033368547,https://dx.doi.org/10.1553/0x002b3a15,"Aichinger, Ignaz",
Aichinger_Oskar.html,https://d-nb.info/gnd/135062136,https://dx.doi.org/10.1553/0x002d8034,"Aichinger, Oskar",
Aigmueller_Andreas.html,https://d-nb.info/gnd/134629698,https://dx.doi.org/10.1553/0x0001f67b,"Aigmüller, Andreas",
Aigner_Engelbert.html,https://d-nb.info/gnd/10386301X,https://dx.doi.org/10.1553/0x0001f67c,"Aigner, Engelbert",
Aigner_Josef.html,https://d-nb.info/gnd/1033766968,https://dx.doi.org/10.1553/0x0001fc62,"Aigner, Josef",
Akademie.html,,https://dx.doi.org/10.1553/0x0001f67d,Akademie ,
Akademie_der_Tonkunst.html,,https://dx.doi.org/10.1553/0x0034f4df,Akademie der Tonkunst ,
Akademie_der_Wissenschaften.html,,https://dx.doi.org/10.1553/0x00020c5a,"Akademie der Wissenschaften, Österreichische (ÖAW) ",
Akademie_fuer_Musik.html,,https://dx.doi.org/10.1553/0x001c3218,Akademie für Musik und darstellende Kunst ,
Akademische_Orchestervereine.html,,https://dx.doi.org/10.1553/0x0001f67f,Akademische Orchestervereine ,
Akademisches_Operninstitut.html,,https://dx.doi.org/10.1553/0x003af99d,Akademisches Operninstitut ,
Akustik.html,,https://dx.doi.org/10.1553/0x00020381,Akustik ,
Akustische_und_Kino-Geraete_GmbH.html,,https://dx.doi.org/10.1553/0x0001f683,Akustische und Kino-Geräte G.m.b.H. (AKG) ,
Alamire_Petrus.html,https://d-nb.info/gnd/122020790,https://dx.doi.org/10.1553/0x0001f684,"Alamire, Petrus (Van den Hove, Pieter; Imhoff, Peter)",
Alavi_Kia.html,https://d-nb.info/gnd/134964128,https://dx.doi.org/10.1553/0x0001f685,"Alavi, Kia Romeo (Kafritsas, Walter)",
Alban_Berg-Quartett.html,,https://dx.doi.org/10.1553/0x0001f686,Alban Berg-Quartett ,
Alban_Familie.html,,https://dx.doi.org/10.1553/0x0001f688,"Alban, Familie Matthias:",
Alberdingk_Erny.html,https://d-nb.info/gnd/1033785857,https://dx.doi.org/10.1553/0x0001f689,"Alberdingk (verh. Walter, A.-Walter, Walter-A.), Erny (Erni, eig. Ernestine Carline Josefine)",
Albert_Eugen_d.html,https://d-nb.info/gnd/118501437,https://dx.doi.org/10.1553/0x0001f68b,"Albert, Eugen (Eugène Francis Charles) d'",
Albert_Herbert.html,https://d-nb.info/gnd/116276223,https://dx.doi.org/10.1553/0x0001f68c,"Albert, Herbert",
Albert_Stefan.html,https://d-nb.info/gnd/1033799564,https://dx.doi.org/10.1553/0x0001f68d,"Albert, Stefan",
Albertini_Ignazio.html,https://d-nb.info/gnd/124264581,https://dx.doi.org/10.1553/0x0001f68a,"Albertini (Albertino), Ignazio",
Albini_Srecko.html,https://d-nb.info/gnd/137670869,https://dx.doi.org/10.1553/0x0001f68f,"Albini, Srećko (Felix bzw. Alexander)",
Alboni_Marietta.html,https://d-nb.info/gnd/116279389,https://dx.doi.org/10.1553/0x0001f690,"Alboni, Marietta (eig. Maria Anna Marzia A., verh. erst Gräfin Pepoli, dann Ziégler)",
Albrecht_Familie.html,,https://dx.doi.org/10.1553/0x003c59f1,"Albrecht, Familie Franz:",
Albrechtsberger_Familie.html,,https://dx.doi.org/10.1553/0x00020c57,"Albrechtsberger, Familie Anton Johann:",
Alcalay_Luna.html,https://d-nb.info/gnd/122857259,https://dx.doi.org/10.1553/0x0001f692,"Alcalay (eig. Alkalaj), Luna (eig. Lucia; Pseud. 1941–67: Lucia Günther[-Alcalay])",
Aleatorik.html,,https://dx.doi.org/10.1553/0x0001f693,Aleatorik ,
Alexander_Peter.html,https://d-nb.info/gnd/118648020,https://dx.doi.org/10.1553/0x0001f694,"Alexander, Peter (eig. P. A. Ferdinand Maximilian Neumayer) Hildegarde Haagen",
Algarotti_Nikola.html,https://d-nb.info/gnd/135948614,https://dx.doi.org/10.1553/0x0001f695,"Algarotti (eig. Udina), Nikola",
Algatzy_Anton.html,https://d-nb.info/gnd/126842124,https://dx.doi.org/10.1553/0x0001f696,"Algatzy, Anton",
Alkbottle.html,,https://dx.doi.org/10.1553/0x00206f5e,Alkbottle ,
Allacher_Heinrich.html,https://d-nb.info/gnd/1033799807,https://dx.doi.org/10.1553/0x0001f697,"Allacher, Heinrich",
Allemande.html,,https://dx.doi.org/10.1553/0x0001f698,Allemande ,
Allesch_Emma.html,https://d-nb.info/gnd/136503217,https://dx.doi.org/10.1553/0x0001f699,"Allesch, Emma",
Allgemeiner_Kirchenmusik-Verein.html,,https://dx.doi.org/10.1553/0x003ac089,Allgemeiner Kirchenmusik-Verein ,
Allgemeines_Akademisches_Gesangs-Institut.html,,https://dx.doi.org/10.1553/0x003b2a38,Allgemeines akademisches Gesangs-Institut ,
Allgeuer_Johannes.html,https://d-nb.info/gnd/1033800015,https://dx.doi.org/10.1553/0x000202ec,"Allgeuer, Johannes",
Allinger_Richard.html,https://d-nb.info/gnd/140127283,https://dx.doi.org/10.1553/0x0001f69a,"Allinger, Richard OFMCap (Rudolf)",
Allintervallreihe.html,,https://dx.doi.org/10.1553/0x0001f69b,Allintervallreihe ,
Allmeder_Franz.html,https://d-nb.info/gnd/14171512X,https://dx.doi.org/10.1553/0x000212af,"Allmeder, Franz",
Alma_Marian.html,https://d-nb.info/gnd/116287969,https://dx.doi.org/10.1553/0x0001f69f,"Alma, Marian (Pseud. Manoli)",
Almanach.html,,https://dx.doi.org/10.1553/0x0001f69e,"Almanach, Almanachlied ",
Almer_Margret.html,https://d-nb.info/gnd/135009227,https://dx.doi.org/10.1553/0x0001fa8a,"Almer, Margret",
Almruf_Almschrei.html,,https://dx.doi.org/10.1553/0x0001f6a2,"Almruf, Almschrei ",
Alpar_Gitta.html,https://d-nb.info/gnd/11628840X,https://dx.doi.org/10.1553/0x0001f6a3,"Alpár, Gitta (eig. Klopfer, Regina) Gustav Fröhlich",
Alpenlaendisches_Lied.html,,https://dx.doi.org/10.1553/0x0001f6a4,Alpenländisches Lied ,
Alpenland_Quintett.html,,https://dx.doi.org/10.1553/0x000221ab,"Alpenland Quintett, Original ",
Alpenmusik.html,,https://dx.doi.org/10.1553/0x0001f6a5,Alpenmusik ,
Alpenrebellen.html,,https://dx.doi.org/10.1553/0x0001fa8b,"Alpenrebellen, Die ",
Alpensaenger.html,,https://dx.doi.org/10.1553/0x0001f6a7,Alpensänger ,
Alpentrio_Tirol.html,,https://dx.doi.org/10.1553/0x0001fa8d,Alpentrio Tirol ,
Alphorn.html,,https://dx.doi.org/10.1553/0x0001f6a9,Alphorn ,
Alram_Hieronymus.html,https://d-nb.info/gnd/143837621,https://dx.doi.org/10.1553/0x0001f6ab,"Alram, Hieronymus Josef OPraem",
Alsen_Herbert.html,https://d-nb.info/gnd/116288930,https://dx.doi.org/10.1553/0x0001f6ac,"Alsen (eig. Murke), Herbert",
Alt_Robert.html,https://d-nb.info/gnd/130068276,https://dx.doi.org/10.1553/0x0001f6ba,"Alt, Robert",
Altbart_Josef.html,https://d-nb.info/gnd/103380021X,https://dx.doi.org/10.1553/0x0001f6af,"Altbart, Josef",
Alte_Musik.html,,https://dx.doi.org/10.1553/0x0001f6b4,Alte Musik ,
Altenburg.html,,https://dx.doi.org/10.1553/0x0001f6b1,Altenburg ,
Altenburger_Familie.html,,https://dx.doi.org/10.1553/0x0001f6b2,"Altenburger, Familie Alfred:",
Alternatim.html,,https://dx.doi.org/10.1553/0x0001f6b3,Alternatim ,
Althaller_Friedl.html,https://d-nb.info/gnd/134313631,https://dx.doi.org/10.1553/0x0001f6b5,"Althaller, Friedl (Winfried)",
Althan_Maria.html,https://d-nb.info/gnd/135708478,https://dx.doi.org/10.1553/0x000221ac,"Althan(n), Maria Anna Josepha",
Altmann_Peter.html,https://d-nb.info/gnd/138629706,https://dx.doi.org/10.1553/0x0001f6b7,"Altmann (geb. Preinerstorfer; Pseud. McAllan), Viktor (eig. Victor Emil Ludwig)",
Altmann_Viktor.html,https://d-nb.info/gnd/138629706,https://dx.doi.org/10.1553/0x0001f6b8,"Altmann (geb. Preinerstorfer; Pseud. McAllan), Viktor (eig. Victor Emil Ludwig)",
Altmuetter_Mathias.html,https://d-nb.info/gnd/1047943530,https://dx.doi.org/10.1553/0x0001f6b9,"Altmuetter (Altmitter), Mathias (Matthaeus)",
Alwin_Karl.html,https://d-nb.info/gnd/116296453,https://dx.doi.org/10.1553/0x0001f6bb,"Alwin, Karl Oskar (eig. Pinkus, Alwin Oskar)",
Alzner_Claudius.html,https://d-nb.info/gnd/134313844,https://dx.doi.org/10.1553/0x0001f6bc,"Alzner, Claus (Claudius; Pseud. Andreas Henner)",
Amade_August.html,https://d-nb.info/gnd/130068373,https://dx.doi.org/10.1553/0x0001f6c1,"Amadé, August (Psd. für Augustin Freiherr von Pereira-Arnstein)",
Amade_von_Varkony_Thaddaeus.html,https://d-nb.info/gnd/14404708X,https://dx.doi.org/10.1553/0x0001f6c2,"Amadé von Várkony, Thaddäus Graf",
Amadei_Albert.html,https://d-nb.info/gnd/116296488,https://dx.doi.org/10.1553/0x0001f6bd,"Amadei, Albert Graf",
Amadeo.html,,https://dx.doi.org/10.1553/0x0001f6bf,Amadeo ,
Amadeus.html,,https://dx.doi.org/10.1553/0x003467a4,Amadeus Austrian Music Award ,
Amadeus_Quartett.html,,https://dx.doi.org/10.1553/0x0001f6c0,Amadeus Quartett ,
Aman_Georg.html,https://d-nb.info/gnd/1033777536,https://dx.doi.org/10.1553/0x0001f6c6,"Aman, Georg",
Amann_Gerold.html,https://d-nb.info/gnd/120738821,https://dx.doi.org/10.1553/0x0001f6c4,"Amann, Gerold",
Amann_Michael.html,https://d-nb.info/gnd/124172520,https://dx.doi.org/10.1553/0x0001f6c5,"Amann, Michael",
Amarcord_Wien.html,,https://dx.doi.org/10.1553/0x001d4f38,Amarcord Wien ,
Amaysel_Chunrat.html,https://d-nb.info/gnd/1033801208,https://dx.doi.org/10.1553/0x0001f6c8,"Amaysel, Chunrat",
Ambras.html,,https://dx.doi.org/10.1553/0x0001f6c9,Ambras ,
Ambraser_Schlosskonzerte.html,,https://dx.doi.org/10.1553/0x0001f6ca,Ambraser Schlosskonzerte ,
Ambros_August.html,https://d-nb.info/gnd/11732471X,https://dx.doi.org/10.1553/0x0001f6cd,"Ambros, Familie August Wilhelm",
Ambros_Josef.html,https://d-nb.info/gnd/131857207,https://dx.doi.org/10.1553/0x0001f6ce,"Ambros, Josef",
Ambros_Maximilian_von.html,https://d-nb.info/gnd/1263706479,,"Ambros (eig. Ambros von Rechtenberg), Maximilian von",
Ambros_Michael.html,https://d-nb.info/gnd/119002345,https://dx.doi.org/10.1553/0x0001f6cf,"Ambros, Michael Aloisia Ludovika",
Ambros_Wolfgang.html,https://d-nb.info/gnd/118839292,https://dx.doi.org/10.1553/0x0001f6d1,"Ambros, Wolfgang",
Ambrosch_Joseph.html,https://d-nb.info/gnd/130567043,https://dx.doi.org/10.1553/0x0001f6cb,"Ambrosch (Ambrož), Joseph Karl (Josef Karel)",
Ambrosi_Familie.html,,https://dx.doi.org/10.1553/0x0001f6cc,"Ambrosi, Familie August Vincenz:",
Amer_Josef.html,https://d-nb.info/gnd/133343154,https://dx.doi.org/10.1553/0x0001f6d2,"Amer, Josef Peter",
Amerika.html,,https://dx.doi.org/10.1553/0x000202ed,Amerika ,
Ameseder_Rudolf.html,https://d-nb.info/gnd/1017900280,https://dx.doi.org/10.1553/0x0001f6d3,"Ameseder, Rudolf",
Amman_Familie.html,,https://dx.doi.org/10.1553/0x000202ea,"Amman, Familie Johann Liberat:",
Amon_Blasius.html,https://d-nb.info/gnd/124326501,https://dx.doi.org/10.1553/0x0001f6d5,"Amon (Ammon), Blasius OFM",
Amon_Familie.html,,https://dx.doi.org/10.1553/0x0001f6d6,"Amon, Familie Anton",
Amschl_Familie.html,,https://dx.doi.org/10.1553/0x0001f6d7,"Amschl, Familie Anton Johannes:",
Amstetten.html,,https://dx.doi.org/10.1553/0x0001f6d9,Amstetten ,
